epoch,index,onset_time,accuracy,pre_trial_accuracy,response_time,condition_stimulus,condition_cue,stimulus_shape,stimulus_location,num_checks,motivation,rewarded_time,production,delivered_reward,passed_time,received_reward
0,71,93.066,1.0,post-correct,0.4590000000000032,incongruent,valid,SQUARE,LEFT,1,1,94.914,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,72,94.295,1.0,post-correct,0.4789999999999992,congruent,valid,CIRCLE,LEFT,1,1,96.163,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,73,95.544,1.0,post-correct,0.4789999999999992,incongruent,valid,SQUARE,LEFT,1,1,97.393,CHECK-PASS-M3,1,0.3,0.7
0,74,96.793,1.0,post-correct,0.45999999999999375,congruent,invalid,SQUARE,RIGHT,1,1,98.62,CHECK-PASS-M3,1,0.3,0.7
0,75,98.023,1.0,post-correct,0.45700000000000784,congruent,valid,SQUARE,RIGHT,1,1,99.869,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,76,99.25,1.0,post-correct,0.4789999999999992,congruent,valid,CIRCLE,LEFT,1,1,101.098,CHECK-PASS-M3,1,0.3,0.7
0,77,100.499,1.0,post-correct,0.4590000000000032,incongruent,valid,CIRCLE,RIGHT,1,1,102.328,CHECK-PASS-M3,1,0.3,0.7
0,78,101.728,1.0,post-correct,0.46000000000000796,incongruent,invalid,CIRCLE,RIGHT,1,1,103.576,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,79,102.958,1.0,post-correct,0.47800000000000864,incongruent,invalid,SQUARE,LEFT,1,1,104.805,CHECK-PASS-M3,1,0.3,0.7
1,1,0.58,1.0,NaN,0.711,incongruent,invalid,CIRCLE,RIGHT,1,1,2.84,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,2,2.214,1.0,post-correct,0.4860000000000002,congruent,invalid,SQUARE,RIGHT,1,1,4.072,CHECK-PASS-M3,1,0.3,0.7
1,3,3.47,1.0,post-correct,0.46199999999999974,congruent,valid,SQUARE,RIGHT,1,1,5.327,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,4,4.702,1.0,post-correct,0.4850000000000003,incongruent,valid,CIRCLE,RIGHT,1,1,7.385,DONT-CHECK,0,0.905,-0.905
1,5,5.957,0.0,post-correct,0.7030000000000003,incongruent,invalid,CIRCLE,RIGHT,1,1,8.64,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,6,8.015,1.0,post-error,0.48499999999999943,incongruent,valid,CIRCLE,RIGHT,1,1,9.893,CHECK-PASS-M3,1,0.32,0.6799999999999999
