epoch,production,u,utility,delivered_reward
43,P6,1.9752,1.679752,5.0
43,P7,0.0,-0.14055315,7.3106
43,P8,8.722538,9.005389,8.808
43,P9,0.0,1.5963898,9.5257
43,P10,0.0,0.48913947,9.8201
44,P1,0.0,1.1452272,0.0669
44,P2,0.0,0.6471668,0.1799
44,P3,0.0,0.52793705,0.4743
44,P4,0.0,-0.17121713,1.192
44,P5,0.0,-0.05866428,2.6894
44,P6,4.9374986,5.097533,5.0
44,P7,0.0,0.98053133,7.3106
44,P8,0.0,-0.14222868,8.808
44,P9,0.0,1.3561208,9.5257
44,P10,0.0,1.5921931,9.8201
45,P1,0.0,0.98628914,0.0669
45,P2,0.0,-0.5838415,0.1799
45,P3,0.17772,0.61422265,0.4743
45,P4,0.0,0.8077981,1.192
45,P5,0.0,-0.22674446,2.6894
45,P6,0.0,-0.7352139,5.0
45,P7,0.0,0.88711655,7.3106
45,P8,0.0,-1.1760333,8.808
45,P9,0.0,1.1658709,9.5257
45,P10,9.712359,10.7290945,9.8201
46,P1,0.0,-0.13294217,0.0669
46,P2,0.06396001,0.7665345,0.1799
46,P3,0.0,0.5904403,0.4743
46,P4,0.0,1.4105601,1.192
46,P5,0.0,1.7726817,2.6894
46,P6,0.0,0.8393159,5.0
46,P7,0.0,-0.80945945,7.3106
46,P8,0.0,1.4029152,8.808
46,P9,9.430742,10.827169,9.5257
46,P10,0.0,0.649337,9.8201
47,P1,0.0,0.30063283,0.0669
47,P2,0.06396001,1.7176826,0.1799
47,P3,0.0,0.058666665,0.4743
47,P4,0.0,0.83719313,1.192
47,P5,0.0,0.09372076,2.6894
47,P6,4.9374986,4.8649545,5.0
47,P7,0.0,0.1546533,7.3106
47,P8,0.0,1.1682024,8.808
47,P9,0.0,-0.2576016,9.5257
47,P10,0.0,0.107303225,9.8201
48,P1,0.022760002,0.6885629,0.0669
48,P2,0.102336004,0.32083595,0.1799
48,P3,0.17772,2.0372,0.4743
48,P4,0.46040002,0.9124124,1.192
48,P5,1.0553601,1.3524032,2.6894
48,P6,1.9752,2.9194422,5.0
48,P7,7.222843,6.556095,7.3106
48,P8,0.0,0.12956335,8.808
48,P9,0.0,-1.0552999,9.5257
48,P10,0.0,0.43741104,9.8201
49,P1,0.0,-1.6640097,0.0669
49,P2,0.0,-1.3736484,0.1799
49,P3,0.0,-0.5327899,0.4743
49,P4,0.0,0.31628388,1.192
49,P5,0.0,0.55416733,2.6894
49,P6,0.0,-0.12934186,5.0
49,P7,0.0,-0.4510755,7.3106
49,P8,0.0,1.6236151,8.808
49,P9,9.429039,9.954804,9.5257
49,P10,0.0,2.1020105,9.8201
50,P1,0.0,0.9115402,0.0669
50,P2,0.0,-0.100379795,0.1799
50,P3,0.0,-0.1385407,0.4743
50,P4,0.0,-0.21608736,1.192
50,P5,0.0,0.21738856,2.6894
50,P6,0.0,2.090023,5.0
50,P7,7.2378645,7.6623845,7.3106
50,P8,0.0,-0.36919358,8.808
50,P9,0.0,1.0860064,9.5257
50,P10,0.0,1.569924,9.8201
51,P1,0.0,-0.45545876,0.0669
51,P2,0.0,-0.98222226,0.1799
51,P3,0.0,0.7810856,0.4743
51,P4,0.0,-0.19473775,1.192
51,P5,0.0,0.018457955,2.6894
51,P6,4.9371643,5.294789,5.0
51,P7,0.0,-1.2649065,7.3106
51,P8,0.0,-0.121048674,8.808
51,P9,0.0,-0.3915274,9.5257
51,P10,0.0,0.46289375,9.8201
52,P1,0.022760002,-0.18407057,0.0669
52,P2,0.0,-1.0644019,0.1799
52,P3,0.0,0.35029122,0.4743
52,P4,0.0,-0.7014161,1.192
52,P5,0.0,-0.9810253,2.6894
52,P6,4.9371643,3.184802,5.0
52,P7,0.0,-1.7003634,7.3106
52,P8,0.0,-0.23882413,8.808
52,P9,0.0,-0.051047884,9.5257
52,P10,0.0,0.20719741,9.8201
53,P1,0.022760002,-0.537512,0.0669
53,P2,0.0,-0.5258413,0.1799
53,P3,0.0,0.8462655,0.4743
53,P4,0.0,-0.83324015,1.192
53,P5,0.0,-0.5402627,2.6894
53,P6,0.0,-0.25309306,5.0
53,P7,0.0,-0.58212364,7.3106
53,P8,8.724468,7.2061253,8.808
53,P9,0.0,0.444397,9.5257
53,P10,0.0,-0.91525054,9.8201
54,P1,0.0,-0.21502917,0.0669
54,P2,0.0,0.27566668,0.1799
54,P3,0.0,-0.5893083,0.4743
54,P4,0.0,-0.052418377,1.192
54,P5,0.0,-0.1827324,2.6894
54,P6,0.0,1.0336936,5.0
54,P7,7.2373743,6.2757196,7.3106
54,P8,0.0,0.9083915,8.808
54,P9,0.0,-0.79366416,9.5257
54,P10,0.0,0.48510405,9.8201
55,P1,0.0,-0.6791433,0.0669
55,P2,0.0,1.485864,0.1799
55,P3,0.0,-0.5068103,0.4743
55,P4,0.0,0.011228841,1.192
55,P5,0.0,0.5579231,2.6894
55,P6,0.0,0.7655066,5.0
55,P7,0.0,0.10908548,7.3106
55,P8,8.724468,7.5736814,8.808
55,P9,0.0,0.33287242,9.5257
55,P10,0.0,-0.10995533,9.8201
56,P1,0.0,-1.1973196,0.0669
56,P2,0.0,-0.07160658,0.1799
56,P3,0.0,-0.17098919,0.4743
56,P4,0.0,0.91205645,1.192
56,P5,0.0,-0.6242762,2.6894
56,P6,0.0,-0.5251393,5.0
56,P7,0.0,-0.18975583,7.3106
56,P8,8.720898,8.350923,8.808
56,P9,0.0,-0.30694097,9.5257
56,P10,0.0,-0.19861877,9.8201
57,P1,0.022760002,-0.5077319,0.0669
57,P2,0.06396001,-0.7009735,0.1799
57,P3,0.17772,0.10081799,0.4743
57,P4,0.46040002,0.49087363,1.192
57,P5,1.0553601,1.2928641,2.6894
57,P6,4.9341307,6.2081366,5.0
57,P7,0.0,-0.64823115,7.3106
57,P8,0.0,-0.029689215,8.808
57,P9,0.0,-0.3137065,9.5257
57,P10,0.0,1.7007189,9.8201
58,P1,0.0,0.54730576,0.0669
58,P2,0.0,0.32187876,0.1799
58,P3,0.0,0.05093665,0.4743
58,P4,0.0,0.19928844,1.192
58,P5,0.0,0.31821927,2.6894
58,P6,0.0,0.26543096,5.0
58,P7,0.0,0.051177815,7.3106
58,P8,0.0,-0.6052023,8.808
58,P9,9.430742,8.932976,9.5257
58,P10,0.0,0.8072562,9.8201
59,P1,0.0,-0.6497022,0.0669
59,P2,0.06396001,1.5118512,0.1799
59,P3,0.0,0.9768357,0.4743
59,P4,0.0,2.0698757,1.192
59,P5,0.0,3.0509923,2.6894
59,P6,4.5540214,4.7123857,5.0
59,P7,7.229146,7.14491,7.3106
59,P8,0.0,0.24970247,8.808
59,P9,0.0,-0.5921643,9.5257
59,P10,0.0,0.091474466,9.8201
60,P1,0.0,-0.5570987,0.0669
60,P2,0.0,0.025545808,0.1799
60,P3,0.0,0.76288986,0.4743
60,P4,0.0,-0.5622404,1.192
60,P5,0.0,0.30412388,2.6894
60,P6,0.0,0.36725584,5.0
60,P7,0.0,-0.91247374,7.3106
60,P8,8.720898,7.542562,8.808
60,P9,0.0,0.047614515,9.5257
60,P10,0.0,1.016317,9.8201
61,P1,0.0,-0.31717235,0.0669
61,P2,0.06396001,-0.08221302,0.1799
61,P3,0.3483312,0.7214265,0.4743
61,P4,0.46040002,-0.32905635,1.192
61,P5,0.0,0.71455634,2.6894
61,P6,4.9200854,4.6525736,5.0
61,P7,0.0,0.45699698,7.3106
61,P8,0.0,1.9307729,8.808
61,P9,0.0,-1.1595455,9.5257
61,P10,0.0,0.31224075,9.8201
62,P1,0.0,0.113948256,0.0669
62,P2,0.0,0.45716962,0.1799
62,P3,0.0,1.7475744,0.4743
62,P4,0.73664004,0.5435708,1.192
62,P5,0.0,0.73734903,2.6894
62,P6,0.0,-0.79123074,5.0
62,P7,0.0,-3.161961,7.3106
