epoch,production,u,utility,delivered_reward
44,P6,0.0,1.9433827,5
44,P7,0.0,0.10195968,6
44,P8,0.0,1.8350066,7
44,P9,0.0,0.15181425,8
44,P10,8.8949995,8.710431,9
45,P1,0.0,-0.6191038,0
45,P2,0.0,-0.6578903,1
45,P3,0.0,-1.9334882,2
45,P4,0.0,0.45697105,3
45,P5,0.0,0.23773403,4
45,P6,0.0,-0.70355433,5
45,P7,5.9279995,6.1249256,6
45,P8,0.0,1.0146068,7
45,P9,0.0,0.3971927,8
45,P10,0.0,0.48902628,9
46,P1,0.0,-0.42605728,0
46,P2,0.6272,0.34599015,1
46,P3,0.0,-1.3141264,2
46,P4,2.5755138,1.7864263,3
46,P5,0.0,0.17748833,4
46,P6,0.0,-0.52633643,5
46,P7,0.0,-2.0255787,6
46,P8,6.9169993,7.3573465,7
46,P9,0.0,-0.9887862,8
46,P10,0.0,0.17699113,9
47,P1,0.0,0.67735827,0
47,P2,0.0,0.02657371,1
47,P3,0.0,0.3039361,2
47,P4,0.0,-0.5188615,3
47,P5,0.0,-0.6004395,4
47,P6,0.0,-1.7990656,5
47,P7,5.9279995,5.3734117,6
47,P8,0.0,-1.0121533,7
47,P9,0.0,-0.38851938,8
47,P10,0.0,0.37325603,9
48,P1,0.0,-2.1598005,0
48,P2,0.0,-0.3873378,1
48,P3,0.0,-1.374831,2
48,P4,0.0,-0.29388607,3
48,P5,1.5796,1.0091734,4
48,P6,0.0,0.30953082,5
48,P7,0.0,-0.76637703,6
48,P8,0.0,-0.09644304,7
48,P9,7.9059997,7.4099007,8
48,P10,0.0,-0.24137644,9
49,P1,0.0,1.0518275,0
49,P2,0.0,0.5542666,1
49,P3,0.0,-1.5356915,2
49,P4,2.3198562,1.901636,3
49,P5,0.0,0.8493668,4
49,P6,0.0,-0.47835454,5
49,P7,5.9279995,6.7535257,6
49,P8,0.0,-0.11074778,7
49,P9,0.0,0.41315052,8
49,P10,0.0,-0.28146985,9
50,P1,0.0,0.9680156,0
50,P2,0.0,0.93642837,1
50,P3,0.0,-0.2562792,2
50,P4,0.0,-0.4328688,3
50,P5,0.0,1.6225806,4
50,P6,0.0,-0.10332603,5
50,P7,0.0,-1.8786759,6
50,P8,6.9169993,7.5179977,7
50,P9,0.0,0.49050167,8
50,P10,0.0,-0.52323914,9
51,P1,-0.004,-0.61767143,0
51,P2,0.0,-0.5990132,1
51,P3,0.0,-0.5281283,2
51,P4,0.0,0.2519317,3
51,P5,0.0,-0.44852018,4
51,P6,0.0,0.36491692,5
51,P7,5.9279995,6.508854,6
51,P8,0.0,1.3512201,7
51,P9,0.0,1.0372936,8
51,P10,0.0,-0.7790702,9
52,P1,0.0,0.4677089,0
52,P2,0.0,0.898965,1
52,P3,0.0,-0.47921753,2
52,P4,0.0,0.6311584,3
52,P5,1.5796,0.9764265,4
52,P6,0.0,-0.11744134,5
52,P7,0.0,-1.4583472,6
52,P8,0.0,0.3111822,7
52,P9,0.0,1.6335614,8
52,P10,8.8949995,9.874052,9
53,P1,-0.004,0.38615915,0
53,P2,0.0,-1.0744184,1
53,P3,0.0,-0.1476117,2
53,P4,0.0,0.4595861,3
53,P5,3.9489996,4.7420187,4
53,P6,0.0,-0.45887783,5
53,P7,0.0,1.7328111,6
53,P8,0.0,-0.75383174,7
53,P9,0.0,0.5174111,8
53,P10,0.0,-0.5339472,9
54,P1,0.0,1.6388922,0
54,P2,0.0,1.2576666,1
54,P3,0.0,-0.68924075,2
54,P4,0.0,-0.42131445,3
54,P5,0.0,0.6362215,4
54,P6,0.0,-0.6354145,5
54,P7,0.0,-0.4105499,6
54,P8,0.0,-0.58330154,7
54,P9,0.0,1.1464285,8
54,P10,8.8949995,8.504162,9
55,P1,-0.004,-0.48492688,0
55,P2,0.0,0.29482582,1
55,P3,1.5444801,0.6206799,2
55,P4,0.0,0.39160675,3
55,P5,3.9489996,3.3438895,4
55,P6,0.0,0.52941066,5
55,P7,0.0,0.11896326,6
55,P8,0.0,0.5918545,7
55,P9,0.0,-1.1430932,8
55,P10,0.0,-1.1546357,9
56,P1,0.0,-1.3764545,0
56,P2,0.0,0.1883721,1
56,P3,0.0,-0.5784308,2
56,P4,0.0,2.2095609,3
56,P5,0.0,-1.0021954,4
56,P6,0.0,-1.4266856,5
56,P7,0.0,-0.25723973,6
56,P8,0.0,-0.3018558,7
56,P9,7.9059997,8.47825,8
56,P10,0.0,0.31304118,9
57,P1,0.0,0.6475286,0
57,P2,0.0,1.5064403,1
57,P3,0.0,0.6780139,2
57,P4,0.0,-0.97155464,3
57,P5,0.0,0.41266048,4
57,P6,0.0,0.442574,5
57,P7,5.9279995,4.975148,6
57,P8,0.0,0.7234885,7
57,P9,0.0,0.45998338,8
57,P10,0.0,-0.73228246,9
58,P1,0.0,-0.41712594,0
58,P2,0.0,-0.35886386,1
58,P3,0.0,0.08993238,2
58,P4,0.0,0.77814394,3
58,P5,0.0,0.89347523,4
58,P6,4.9379997,3.9650807,5
58,P7,0.0,-0.097118355,6
58,P8,0.0,1.9180222,7
58,P9,0.0,-1.2439486,8
58,P10,0.0,-0.44175035,9
59,P1,0.0,0.0126137175,0
59,P2,0.0,-0.9223311,1
59,P3,0.0,-0.08046797,2
59,P4,0.0,-1.4735209,3
59,P5,0.0,0.00910448,4
59,P6,0.0,-0.7927897,5
59,P7,0.0,0.03242494,6
59,P8,0.0,0.16406049,7
59,P9,7.9059997,7.430372,8
59,P10,0.0,2.0693908,9
60,P1,0.0,-0.18012562,0
60,P2,0.0,-0.4717325,1
60,P3,0.0,-1.8587767,2
60,P4,1.1836001,3.105188,3
60,P5,0.0,-0.47683132,4
60,P6,0.0,1.4224746,5
60,P7,0.0,0.4926677,6
60,P8,6.9169993,6.0637593,7
60,P9,0.0,-1.028838,8
60,P10,0.0,0.5725658,9
61,P1,0.0,0.03940367,0
61,P2,0.0,-0.6142675,1
61,P3,1.2608,1.4173483,2
61,P4,1.1836001,1.468237,3
61,P5,1.5796,0.7234581,4
61,P6,0.0,0.3513352,5
61,P7,0.0,-0.32396606,6
61,P8,6.9169993,6.0508833,7
61,P9,0.0,-0.83694565,8
61,P10,0.0,-0.17432858,9
62,P1,0.0,-1.2617226,0
62,P2,0.0,-1.2027159,1
62,P3,0.0,-1.2154729,2
62,P4,0.0,-0.10484196,3
62,P5,0.0,-0.7431188,4
62,P6,0.0,-0.037695248,5
62,P7,0.0,0.069887236,6
62,P8,0.0,-0.586621,7
62,P9,7.9059997,10.581345,8
62,P10,0.0,-0.7020554,9
63,P1,0.0,0.7492679,0
63,P2,0.0,1.7117505,1
63,P3,0.0,0.81381446,2
63,P4,0.0,-0.14442928,3
63,P5,0.0,0.001319454,4
63,P6,0.0,-1.419477,5
63,P7,0.0,0.87386304,6
63,P8,0.0,1.2050124,7
63,P9,7.9059997,8.467837,8
63,P10,0.0,0.1176764,9
64,P1,0.0,-0.053878535,0
64,P2,0.0,1.1439875,1
64,P3,0.0,-0.349926,2
64,P4,2.9576087,2.6280046,3
64,P5,0.0,1.3164308,4
64,P6,0.0,-0.6757361,5
64,P7,0.0,0.20473562,6
64,P8,6.916999,6.9271574,7
64,P9,0.0,-1.5408149,8
64,P10,0.0,-0.59146327,9
65,P1,0.0,-0.9999975,0
65,P2,0.0,-0.10556023,1
65,P3,0.0,-0.9568511,2
65,P4,0.0,-0.41001952,3
65,P5,0.0,-0.45462623,4
65,P6,4.9379997,4.42417,5
65,P7,0.0,-0.01147761,6
65,P8,0.0,1.3190385,7
65,P9,0.0,-0.20979413,8
65,P10,0.0,0.5402388,9
66,P1,0.0,-1.2263732,0
66,P2,0.0,0.26694602,1
66,P3,0.0,-2.1308417,2
66,P4,0.0,1.0067217,3
66,P5,0.0,0.99458265,4
66,P6,0.0,0.22672366,5
66,P7,0.0,0.6989872,6
66,P8,6.9169993,6.656182,7
66,P9,0.0,-0.26760867,8
66,P10,0.0,0.09037668,9
67,P1,0.0,-3.0425,0
67,P2,0.6272,1.5029669,1
67,P3,0.78800005,-0.42156214,2
67,P4,2.9589999,2.8183143,3
67,P5,0.0,-0.19315882,4
67,P6,0.0,0.994468,5
67,P7,0.0,0.21359907,6
67,P8,0.0,-1.1541417,7
67,P9,0.0,-0.62282014,8
67,P10,0.0,0.39909962,9
68,P1,0.0,1.1616199,0
68,P2,0.0,-0.35039866,1
68,P3,0.0,-0.813972,2
68,P4,0.0,-2.078398,3
68,P5,3.9489996,5.5115175,4
68,P6,0.0,-0.4654343,5
68,P7,5.1597314,4.610677,6
68,P8,0.0,0.13647768,7
68,P9,0.0,-1.3366528,8
68,P10,0.0,1.8964499,9
69,P1,0.0,-0.3587899,0
69,P2,0.0,-0.39001915,1
69,P3,1.2608,0.7604546,2
